id,osm_id,name,category,lat,lon,geom,region,last_osm_update,last_user_update,created_at
49264fa8-1cf0-4f2e-8bdb-e7071b45b9e2,31819592,Hotel Jardin Bern,hotel,46.958952,7.4578076,0101000020E6100000E570F783CBD41D4086376BF0BE7A4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
4c9b680c-99af-4e8a-8172-3e04a8bff292,32222644,Café Müller,restaurant,47.0996422,9.0651077,0101000020E6100000816FE4CB5521224097265B13C18C4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
20e0ef14-18d3-484c-92b2-66048a4540b3,32606774,Kornhausbibliothek,library,46.948987,7.4473384,0101000020E6100000D8FAD81313CA1D4022AAF06778794740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
1e8c9b5a-96b7-4ac5-a182-e57f5a904194,32609996,Abegg Stiftung,museum,46.8154769,7.4945493,0101000020E6100000ED09B7216BFA1D405D120C8C61684740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
57350cf8-329d-4afb-acad-9419d4987ab3,32654789,ibis budget Bern Expo,hotel,46.9586496,7.4643305,0101000020E61000002D24607479DB1D406829B407B57A4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
aa41d8ae-e95f-4666-9aaa-05b3d45331d8,32654790,Arabelle,hotel,46.953739,7.4326538,0101000020E6100000E3F5059909BB1D40BAF59A1E147A4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
9421d5e6-6c12-40d8-8304-cb25d4e8df22,32851853,Sternen,restaurant,47.1173159,9.1501592,0101000020E61000001563AAAAE14C224081E61835048F4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
980362d4-4293-4002-ba8c-d449ab9ca06f,32851854,Hirschen,restaurant,47.1169747,9.1508843,0101000020E6100000AFF5FBB4404D2240CE7AE706F98E4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
ac39ef4e-be5e-4fee-b03a-7a510be9dd1a,32990264,Gurten Hotel,hotel,46.9199397,7.437834,0101000020E6100000B54E5C8E57C01D4062E58695C0754740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
10b3af6b-2f70-454d-8941-089e4380096b,33063987,Beaulieu,restaurant,46.9513255,7.4346467,0101000020E6100000DE41470614BD1D40E92CB308C5794740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
c107239a-2d8d-450a-bfbb-d97c8cc32ddf,33064267,Zum blauen Engel,restaurant,46.95452,7.4327178,0101000020E61000009996FD5F1ABB1D4060B01BB62D7A4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
